"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000108821",102624.279264829,-1.23552626592675,0.132884639467459,-9.29773577200626,1.43468249027214e-20,3.94615940233399e-18
"ENSG00000124766",1291.40790053461,-2.09803870140756,0.22583070026966,-9.29031659071302,1.53830076381626e-20,4.15560963482365e-18
"ENSG00000141401",619.513260387526,1.99305302506058,0.2154192377492,9.25197324939459,2.20385872411323e-20,5.8491183821728e-18
"ENSG00000112837",2671.19815511368,-1.54908452354611,0.168010734932588,-9.22015205854349,2.96679193541587e-20,7.73821179292608e-18
"ENSG00000003402",3368.72335143759,1.13024893488616,0.122618308310987,9.21761970504111,3.03768365285614e-20,7.78882683057757e-18
"ENSG00000157514",2226.72449000203,2.69685610761225,0.293351084951944,9.1932712914767,3.81072413495596e-20,9.60810578560229e-18
"ENSG00000169715",553.702542171806,1.96588402226765,0.214221754373586,9.17686454401501,4.43826054404596e-20,1.1006886149234e-17
"ENSG00000196975",4931.1015623731,1.0990624531806,0.119848480615602,9.1704329294394,4.71123107998153e-20,1.14954038351549e-17
"ENSG00000128923",1481.50742728071,1.03291236677002,0.113389754663362,9.1093976685688,8.28406008498641e-20,1.98922636453452e-17
"ENSG00000143320",1513.74032144022,-1.60617006469041,0.176419679731935,-9.10425677640354,8.68590906191567e-20,2.04749437230778e-17
"ENSG00000177283",147.951649785997,2.17653893405543,0.239104639068801,9.10287204184749,8.797404428874e-20,2.04749437230778e-17
"ENSG00000164484",814.401987519494,-1.14953919906944,0.126959916338535,-9.05434748400611,1.37386733799938e-19,3.14907046806889e-17
"ENSG00000157613",2823.8992896954,-0.947773976874749,0.105601093342842,-8.97503943257225,2.83250312594596e-19,6.39553840138963e-17
"ENSG00000072958",2239.04534337653,1.07262494752169,0.119964242145787,8.94120554871827,3.84947602543838e-19,8.56395195776938e-17
"ENSG00000019995",2150.37632011757,0.962658631875373,0.10875128703773,8.8519286354872,8.60197006600679e-19,1.88595077041378e-16
"ENSG00000012048",241.117643587367,-1.34274337690793,0.151813985638791,-8.8446619147639,9.18058427521688e-19,1.9840554130783e-16
"ENSG00000154734",29872.9878556811,1.96910519792825,0.223767058496205,8.79979926965724,1.37061090708782e-18,2.92036645104571e-16
"ENSG00000173838",68.6105850526452,2.66410648140975,0.304527713748943,8.74832194617951,2.16548715164184e-18,4.54992911528302e-16
"ENSG00000185432",3844.86229573871,2.02535498135731,0.231640810720101,8.74351533765186,2.25967190300588e-18,4.6827830888593e-16
